,FR [EUR/EURavg],,,DE  [EUR/EURavg],,,IT  [EUR/EURavg],,,FR-real [EUR/MWh],,,DE-real [EUR/MWh],,,IT-real [EUR/MWh],,
Hour,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017
0,0.65384,0.65109,1.30812,0.79106,0.82382,0.61307,0.98370,1.16352,0.96248,,23.86,58.82,25.02,23.86,20.96,,49.62,53
1,0.61356,0.61097,1.29500,0.57827,0.77307,0.61132,0.96514,1.02001,0.94432,,22.39,58.23,18.29,22.39,20.9,,43.5,52
2,0.56423,0.56186,1.15534,0.50714,0.71092,0.53029,0.94658,0.90582,0.92616,,20.59,51.95,16.04,20.59,18.13,,38.63,51
3,0.46065,0.45871,1.05125,0.46161,0.58040,0.46887,0.87735,0.86291,0.85842,,16.81,47.27,14.6,16.81,16.03,,36.8,47.27
4,0.47709,0.47508,1.01167,0.47267,0.60112,0.48057,0.84431,0.80898,0.82610,,17.41,45.49,14.95,17.41,16.43,,34.5,45.49
5,0.46640,0.46444,0.98965,0.45845,0.58765,0.40218,0.84802,0.75270,0.82973,,17.02,44.5,14.5,17.02,13.75,,32.1,45.69
6,0.43462,0.43278,0.98965,0.34020,0.54760,0.32467,0.89219,0.84415,0.87295,,15.86,44.5,10.76,15.86,11.1,,36,48.07
7,0.49764,0.49555,0.99454,0.37972,0.62702,0.45249,0.84765,0.88026,0.82937,,18.16,44.72,12.01,18.16,15.47,,37.54,45.67
8,0.48586,0.48381,0.98342,0.39173,0.61217,0.49373,0.84412,0.88026,0.82592,,17.73,44.22,12.39,17.73,16.88,,37.54,45.48
9,0.54176,0.53948,0.93539,0.44390,0.68261,0.63793,0.78065,0.84298,0.76381,,19.77,42.06,14.04,19.77,21.81,,35.95,42.06
10,0.65083,0.64809,1.01634,0.46414,0.82002,0.76751,0.86974,0.88237,0.85098,,23.75,45.7,14.68,23.75,26.24,,37.63,46.86
11,0.71331,0.71030,1.06549,0.50840,0.89875,0.77277,0.89127,0.86291,0.87204,,26.03,47.91,16.08,26.03,26.42,,36.8,48.02
12,0.74153,0.73841,1.10241,0.50840,0.93431,0.80904,0.92004,0.88026,0.90019,,27.06,49.57,16.08,27.06,27.66,,37.54,49.57
13,0.72865,0.72558,1.08283,0.50745,0.91808,0.83946,0.90370,0.81132,0.88421,,26.59,48.69,16.05,26.59,28.7,,34.6,48.69
14,0.68508,0.68219,1.04325,0.50714,0.86318,0.86754,0.87067,0.84298,0.85188,,25,46.91,16.04,25,29.66,,35.95,46.91
15,0.54971,0.54739,1.03435,0.50903,0.84350,1.03339,0.91744,0.96561,0.89765,,20.06,46.51,16.1,24.43,35.33,,41.18,49.43
16,0.53245,0.53020,1.03458,0.75659,0.99680,1.29049,0.93637,1.09388,0.91617,,19.43,46.52,23.93,28.87,44.12,,46.65,50.45
17,0.67330,0.67046,1.14733,0.85050,1.29270,1.50899,0.98927,1.35908,0.96793,,24.57,51.59,26.9,37.44,51.59,,57.96,53.3
18,0.90732,0.90350,1.31368,0.83342,1.29167,1.57801,1.09636,1.43763,1.07271,,33.11,59.07,26.36,37.41,53.95,,61.31,59.07
19,0.96843,0.96435,1.38106,0.75818,1.22020,1.49085,1.14536,1.40692,1.12065,,35.34,62.1,23.98,35.34,50.97,,60,61.71
20,0.90623,0.90241,1.25119,0.50872,1.14182,1.31418,1.04420,1.33657,1.02168,,33.07,56.26,16.09,33.07,44.93,,57,56.26
21,0.80895,0.80554,1.22317,0.44517,1.01925,1.13576,1.02082,1.28967,0.99880,,29.52,55,14.08,29.52,38.83,,55,55
22,0.82484,0.82136,1.24585,0.39332,1.03927,1.23345,1.00226,1.09646,0.98064,,30.1,56.02,12.44,30.1,42.17,,46.76,54
23,0.67330,0.67046,1.15645,0.00126,0.84834,0.96699,0.96514,1.01321,0.94432,,24.57,52,0.04,24.57,33.06,,43.21,52
24,0.60835,0.60579,1.22294,-0.38288,0.76651,0.89328,0.98370,0.92669,0.96248,,22.2,54.99,-12.11,22.2,30.54,,39.52,53
25,0.45407,0.45216,1.11597,-0.62064,0.57212,0.84561,0.93136,0.85095,0.91127,,16.57,50.18,-19.63,16.57,28.91,,36.29,50.18
26,0.42064,0.41887,1.09218,-0.61242,0.52999,0.82221,0.91150,0.84157,0.89184,,15.35,49.11,-19.37,15.35,28.11,,35.89,49.11
27,0.34994,0.34847,1.01812,-0.99309,0.44091,0.81577,0.89368,0.82586,0.87440,,12.77,45.78,-31.41,12.77,27.89,,35.22,48.15
28,0.30884,0.30753,1.00055,-1.48505,0.38912,0.81109,0.89851,0.82422,0.87912,,11.27,44.99,-46.97,11.27,27.73,,35.15,48.41
29,0.32637,0.32500,1.04458,-0.42620,0.41122,0.91200,0.89368,0.84157,0.87440,,11.91,46.97,-13.48,11.91,31.18,,35.89,48.15
30,0.34583,0.34437,1.15645,0.00253,0.43573,1.11119,0.96514,0.90793,0.94432,,12.62,52,0.08,12.62,37.99,,38.72,52
31,0.38831,0.38667,1.31368,0.31807,0.47751,1.49114,1.09636,1.07582,1.07271,,14.17,59.07,10.06,13.83,50.98,,45.88,59.07
32,0.48586,0.48381,1.44511,0.45054,0.55658,1.57597,1.19065,1.27818,1.16496,,17.73,64.98,14.25,16.12,53.88,,54.51,64.15
33,0.55601,0.55367,1.44600,0.46034,0.62564,1.57772,1.16002,1.28967,1.13500,,20.29,65.02,14.56,18.12,53.94,,55,62.5
34,0.66590,0.66309,1.52317,0.46287,0.67639,1.56602,1.14517,1.28053,1.12047,,24.3,68.49,14.64,19.59,53.54,,54.61,61.7
35,0.68645,0.68356,1.46758,0.47678,0.72749,1.60609,1.13589,1.13679,1.11139,,25.05,65.99,15.08,21.07,54.91,,48.48,61.2
36,0.80319,0.79981,1.46224,0.48722,0.77825,1.58182,1.03362,1.05542,1.01133,,29.31,65.75,15.41,22.54,54.08,,45.01,55.69
37,0.72098,0.71794,1.44511,0.45908,0.68330,1.62832,1.03325,0.97640,1.01097,,26.31,64.98,14.52,19.79,55.67,,41.64,55.67
38,0.62014,0.61752,1.36083,0.46477,0.58351,1.63739,1.13571,1.02517,1.11121,,22.63,61.19,14.7,16.9,55.98,,43.72,61.19
39,0.53738,0.53511,1.32791,0.46351,0.58593,1.63798,1.10824,1.14781,1.08433,,19.61,59.71,14.66,16.97,56,,48.95,59.71
40,0.56588,0.56349,1.35571,0.50872,0.66465,1.68975,1.13144,1.24254,1.10703,,20.65,60.96,16.09,19.25,57.77,,52.99,60.96
41,0.93747,0.93352,1.63571,0.79359,0.96711,1.97903,1.36511,1.43013,1.33567,,34.21,73.55,25.1,28.01,67.66,,60.99,73.55
42,1.15724,1.15236,1.72177,0.79232,0.97919,1.61165,1.43694,1.40574,1.40595,,42.23,77.42,25.06,28.36,55.1,,59.95,77.42
43,1.02379,1.01947,1.66795,0.60325,0.91705,1.57714,1.39202,1.28967,1.36200,,37.36,75,19.08,26.56,53.92,,55,75
44,0.89993,0.89613,1.55920,0.45086,0.60008,1.43528,1.30126,1.17806,1.27320,,32.84,70.11,14.26,17.38,49.07,,50.24,70.11
45,0.71660,0.71358,1.36127,0.38636,0.54657,1.17730,1.10787,1.01321,1.08397,,26.15,61.21,12.22,15.83,40.25,,43.21,59.69
46,0.83909,0.83555,1.33659,0.32882,0.58593,1.34314,1.00226,0.94334,0.98064,,30.62,60.1,10.4,16.97,45.92,,40.23,54
47,0.99173,0.98755,1.30723,-0.01043,0.52861,1.13722,0.96514,0.90629,0.94432,,36.19,58.78,-0.33,15.31,38.88,,38.65,52
48,0.53848,0.53621,1.21605,-0.00253,0.24135,1.05357,0.93841,0.85540,0.91817,,19.65,54.68,-0.08,6.99,36.02,,36.48,50.56
49,0.51820,0.51601,1.17290,-0.00221,-0.00035,1.02315,0.87401,0.68071,0.85515,,18.91,52.74,-0.07,-0.01,34.98,,29.03,47.09
50,0.40118,0.39949,1.09529,-0.15903,0.00794,0.98396,0.82464,0.62139,0.80685,,14.64,49.25,-5.03,0.23,33.64,,26.5,44.43
51,0.27732,0.27615,1.00077,0.00032,0.15572,0.99127,0.83521,0.52337,0.81720,,10.12,45,0.01,4.51,33.89,,22.32,45
52,0.19566,0.19483,1.00477,-0.00126,0.14225,0.97986,0.83856,0.39863,0.82047,,7.14,45.18,-0.04,4.12,33.5,,17,45.18
53,0.25787,0.25678,1.09529,0.00095,0.23340,0.99185,0.86751,0.46874,0.84880,,9.41,49.25,0.03,6.76,33.91,,19.99,46.74
54,0.11345,0.11297,1.28210,-0.27412,0.02590,1.40778,1.02082,0.57590,0.99880,,4.14,57.65,-8.67,0.75,48.13,,24.56,55
55,0.19402,0.19320,1.56810,0.14101,0.14743,1.59732,1.10861,0.72456,1.08470,,7.08,70.51,4.46,4.27,54.61,,30.9,59.73
56,0.31240,0.31108,1.64660,0.31301,0.31454,1.69443,1.14721,0.78459,1.12247,,11.4,74.04,9.9,9.11,57.93,,33.46,61.81
57,0.48339,0.48136,1.67507,0.45181,0.54967,1.67249,1.14721,0.84438,1.12247,,17.64,75.32,14.29,15.92,57.18,,36.01,61.81
58,0.54779,0.54548,1.66017,0.52895,0.58904,1.52888,1.14963,0.86220,1.12483,,19.99,74.65,16.73,17.06,52.27,,36.77,61.94
59,0.60589,0.60333,1.63037,0.70538,0.66569,1.46072,1.18415,0.84579,1.15861,,22.11,73.31,22.31,19.28,49.94,,36.07,63.8
60,0.62151,0.61889,1.61702,0.72814,0.69918,1.35426,1.06703,0.84157,1.04402,,22.68,72.71,23.03,20.25,46.3,,35.89,57.49
61,0.60287,0.60033,1.59434,0.70822,0.60975,1.21415,1.05311,0.68071,1.03040,,22,71.69,22.4,17.66,41.51,,29.03,56.74
62,0.54505,0.54275,1.56810,0.85587,0.63841,1.08457,1.11362,0.70580,1.08960,,19.89,70.51,27.07,18.49,37.08,,30.1,60
63,0.48641,0.48436,1.55542,0.92733,0.57005,1.08311,1.18805,0.87885,1.16242,,17.75,69.94,29.33,16.51,37.03,,37.48,64.01
64,0.51409,0.51192,1.58144,1.07024,0.64773,1.14307,1.27955,0.94123,1.25195,,18.76,71.11,33.85,18.76,39.08,,40.14,68.94
65,0.60863,0.60606,1.80851,1.45312,0.76685,1.23258,1.24373,1.16328,1.21690,,22.21,81.32,45.96,22.21,42.14,,49.61,67.01
66,0.73331,0.73022,3.05146,1.57516,0.92395,1.07258,1.15055,1.29202,1.12574,,26.76,137.21,49.82,26.76,36.67,,55.1,61.99
67,0.74619,0.74305,2.00532,1.50560,0.93500,1.05386,1.08578,1.23527,1.06236,,27.23,90.17,47.62,27.08,36.03,,52.68,58.5
68,0.69413,0.69120,1.66662,1.13758,0.87458,0.98132,1.11362,1.19588,1.08960,,25.33,74.94,35.98,25.33,33.55,,51,60
69,0.60589,0.60333,1.59212,0.86188,0.76340,0.71837,1.10397,1.09435,1.08016,,22.11,71.59,27.26,22.11,24.56,,46.67,59.48
70,0.61849,0.61589,1.52851,0.87579,0.72197,0.51977,1.16930,0.94123,1.14408,,22.57,68.73,27.7,20.91,17.77,,40.14,63
71,0.57574,0.57332,1.49938,0.45117,0.49823,0.27758,1.05311,0.88589,1.03040,,21.01,67.42,14.27,14.43,9.49,,37.78,56.74
72,0.37762,0.37603,1.39419,0.29467,0.47579,0.24862,1.15742,0.82000,1.13246,,13.78,62.69,9.32,13.78,8.5,,34.97,62.36
73,0.36830,0.36675,1.24629,0.00063,0.44091,-0.00146,1.04012,0.64507,1.01768,,13.44,56.04,0.02,12.77,-0.05,,27.51,56.04
74,0.31404,0.31272,1.20315,-0.00126,0.36461,-0.18339,1.00411,0.57590,0.98245,,11.46,54.1,-0.04,10.56,-6.27,,24.56,54.1
75,0.15209,0.15145,1.15645,0.00032,0.13362,-0.14888,0.96514,0.58293,0.94432,,5.55,52,0.01,3.87,-5.09,,24.86,52
