Hour,Load [MW],,,Load factor [MW/MWavg],,,Load factor [MW/MWh-year],,
,2015,2016,2017,2015,2016,2017,2015,2016,2017
0,7635,6834,6745,1.0777,0.9560,0.9724,0.000123024,0.00010913,0.000111008
1,7643,6948,7106,1.0788,0.9719,1.0245,0.000123153,0.000110951,0.00011695
2,7394,7059,7184,1.0437,0.9875,1.0357,0.000119141,0.000112723,0.000118233
3,7335,6947,7100,1.0353,0.9718,1.0236,0.00011819,0.000110935,0.000116851
4,7004,6703,6878,0.9886,0.9377,0.9916,0.000112857,0.000107039,0.000113197
5,7045,6665,6736,0.9944,0.9323,0.9711,0.000113517,0.000106432,0.00011086
6,6839,6452,6366,0.9653,0.9025,0.9178,0.000110198,0.00010303,0.000104771
7,6619,6315,6066,0.9343,0.8834,0.8745,0.000106653,0.000100843,9.98335E-05
8,6563,6370,6490,0.9264,0.8911,0.9357,0.000105751,0.000101721,0.000106812
9,6812,6509,6656,0.9615,0.9105,0.9596,0.000109763,0.000103941,0.000109544
10,6840,6564,6644,0.9655,0.9182,0.9579,0.000110214,0.000104819,0.000109346
11,6613,6653,6345,0.9334,0.9307,0.9148,0.000106557,0.00010624,0.000104425
12,7138,7075,6724,1.0075,0.9897,0.9694,0.000115016,0.000112979,0.000110663
13,7072,6944,6681,0.9982,0.9714,0.9632,0.000113952,0.000110887,0.000109955
14,7081,6798,6397,0.9995,0.9509,0.9223,0.000114098,0.000108556,0.000105281
15,7077,6656,6323,0.9989,0.9311,0.9116,0.000114033,0.000106288,0.000104063
16,7324,6758,6674,1.0338,0.9454,0.9622,0.000118013,0.000107917,0.00010984
17,7618,7072,7152,1.0753,0.9893,1.0311,0.00012275,0.000112931,0.000117707
18,7802,7181,7217,1.1013,1.0045,1.0405,0.000125715,0.000114672,0.000118777
19,7707,7079,7120,1.0879,0.9903,1.0265,0.000124184,0.000113043,0.00011718
20,7446,6954,6900,1.0510,0.9728,0.9948,0.000119979,0.000111047,0.000113559
21,7359,6884,6721,1.0387,0.9630,0.9690,0.000118577,0.000109929,0.000110613
22,7450,7060,6689,1.0516,0.9876,0.9644,0.000120043,0.000112739,0.000110087
23,7235,6913,7038,1.0212,0.9670,1.0147,0.000116579,0.000110392,0.000115831
24,7065,6718,6867,0.9972,0.9398,0.9900,0.00011384,0.000107278,0.000113016
25,7044,6843,7112,0.9943,0.9572,1.0253,0.000113501,0.000109274,0.000117048
26,7185,6901,7135,1.0142,0.9654,1.0287,0.000115773,0.0001102,0.000117427
27,7104,6858,7067,1.0027,0.9593,1.0189,0.000114468,0.000109514,0.000116308
28,6972,6549,7001,0.9841,0.9161,1.0093,0.000112341,0.000104579,0.000115222
29,6786,6603,7021,0.9579,0.9237,1.0122,0.000109344,0.000105442,0.000115551
