Hour,Export [MW],,,Import [MW],,,Export [MW/MWmax],,,Import [MW/MWmax],,
,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017
0,2000,5200,5200,1536,936,2050,0.384615385,1,1,0.48,0.2925,0.640625
1,2000,5200,5200,1536,936,2050,0.384615385,1,1,0.48,0.2925,0.640625
2,2000,5200,5200,1536,936,2050,0.384615385,1,1,0.48,0.2925,0.640625
3,2000,5200,5200,1536,936,2050,0.384615385,1,1,0.48,0.2925,0.640625
4,2000,5200,5200,1536,936,2050,0.384615385,1,1,0.48,0.2925,0.640625
5,2000,5200,5200,1536,936,2050,0.384615385,1,1,0.48,0.2925,0.640625
6,2000,5200,5200,1536,936,2050,0.384615385,1,1,0.48,0.2925,0.640625
7,2000,5200,5200,1536,936,2000,0.384615385,1,1,0.48,0.2925,0.625
8,2000,5200,5200,1536,936,2000,0.384615385,1,1,0.48,0.2925,0.625
9,2000,5200,5200,1536,936,2000,0.384615385,1,1,0.48,0.2925,0.625
10,2000,5200,5200,1536,936,2000,0.384615385,1,1,0.48,0.2925,0.625
11,2000,5200,5200,1536,936,2000,0.384615385,1,1,0.48,0.2925,0.625
12,2000,5200,5200,1536,936,2000,0.384615385,1,1,0.48,0.2925,0.625
13,2000,5200,5200,1536,936,2000,0.384615385,1,1,0.48,0.2925,0.625
14,2000,5200,5200,1536,936,2000,0.384615385,1,1,0.48,0.2925,0.625
15,2000,5200,5200,1536,936,2000,0.384615385,1,1,0.48,0.2925,0.625
16,2000,5200,5200,1536,936,2000,0.384615385,1,1,0.48,0.2925,0.625
17,2000,5200,5200,1536,936,2200,0.384615385,1,1,0.48,0.2925,0.6875
18,2000,5200,5200,1536,1236,2200,0.384615385,1,1,0.48,0.38625,0.6875
19,2000,5200,5200,1536,1536,2200,0.384615385,1,1,0.48,0.48,0.6875
20,2000,5200,5200,1536,1536,2200,0.384615385,1,1,0.48,0.48,0.6875
21,2000,5200,5200,1536,1736,2200,0.384615385,1,1,0.48,0.5425,0.6875
22,2000,5200,5200,1536,1336,2200,0.384615385,1,1,0.48,0.4175,0.6875
23,2000,5200,5200,1536,936,2200,0.384615385,1,1,0.48,0.2925,0.6875
24,2000,5200,5200,1336,936,2200,0.384615385,1,1,0.4175,0.2925,0.6875
25,2000,5200,5200,1336,936,2200,0.384615385,1,1,0.4175,0.2925,0.6875
26,2000,5200,5200,1336,936,2200,0.384615385,1,1,0.4175,0.2925,0.6875
27,2000,5200,5200,1336,936,2200,0.384615385,1,1,0.4175,0.2925,0.6875
28,2000,5200,5200,1336,936,2200,0.384615385,1,1,0.4175,0.2925,0.6875
29,2000,5200,5200,1336,936,2200,0.384615385,1,1,0.4175,0.2925,0.6875
30,2000,5200,5200,1336,936,2200,0.384615385,1,1,0.4175,0.2925,0.6875
31,2000,5200,5200,1536,936,2200,0.384615385,1,1,0.48,0.2925,0.6875
32,2000,5200,5200,1536,936,2200,0.384615385,1,1,0.48,0.2925,0.6875
33,2000,5200,5200,1536,936,2600,0.384615385,1,1,0.48,0.2925,0.8125
34,2000,5200,5200,1536,936,2600,0.384615385,1,1,0.48,0.2925,0.8125
