Hour,Export,,,Import,,,Export [MW/MWmax],,,Import [MW/MWmax],,
,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017
0,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
1,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
2,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
3,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
4,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
5,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
6,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
7,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
8,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
9,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
10,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
11,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
12,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
13,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
14,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
15,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
16,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
17,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
18,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
19,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
20,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
21,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
22,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
23,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
24,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
25,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
26,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
27,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
28,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
29,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
30,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
31,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
32,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
33,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
34,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
35,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
36,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
37,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
38,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
39,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
40,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
41,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
42,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
43,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
44,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
45,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
46,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
47,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
48,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
49,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
50,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
51,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
52,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
53,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
54,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
55,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
56,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
57,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
58,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
59,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
60,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
61,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
62,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
63,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
64,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
65,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
66,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
67,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
68,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
69,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
70,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
71,1150,1100,1100,3200,3200,3200,0.821428571,0.785714286,0.785714286,1,1,1
72,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
73,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
74,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
75,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
76,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
77,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
78,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
79,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
80,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
81,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
82,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
83,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
84,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
85,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
86,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
87,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
88,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
89,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
90,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
91,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
92,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
93,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
94,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
95,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
96,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
97,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
98,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
99,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
100,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
101,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
102,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
103,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
104,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
105,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
106,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
107,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
108,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
109,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
110,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
111,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
112,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
113,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
114,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
115,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
116,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
117,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
118,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
119,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
120,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
121,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
122,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
123,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
124,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
125,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
126,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
127,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
128,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
129,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
130,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
131,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
132,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
133,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
134,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
135,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
136,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
137,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
138,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
139,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
140,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
141,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
142,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
143,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
144,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
145,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
146,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
147,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
148,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
149,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
150,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
151,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
152,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
153,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
154,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
155,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
156,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
157,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
158,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
159,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
160,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
161,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
162,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
163,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
164,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
165,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
166,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
167,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
168,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
169,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
170,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
171,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
172,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
173,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
174,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
175,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
176,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
177,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
178,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
179,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
180,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
181,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
182,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
183,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
184,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
185,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
186,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
187,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
188,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
189,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
190,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
191,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
192,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
193,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
194,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
195,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
196,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
197,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
198,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
199,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
200,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
201,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
202,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
