,Export,,,Import,,,Export [MW/MWmax],,,Import [MW/MWmax],,
Hour,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017
0,2011,2011,2011,1910,1910,1910,0.474292453,0.443733451,0.443733451,1,1,1
1,2011,2011,2011,1910,1910,1910,0.474292453,0.443733451,0.443733451,1,1,1
2,2011,2011,2011,1910,1910,1910,0.474292453,0.443733451,0.443733451,1,1,1
3,2011,2011,2011,1910,1910,1910,0.474292453,0.443733451,0.443733451,1,1,1
4,2011,2011,2011,1910,1910,1910,0.474292453,0.443733451,0.443733451,1,1,1
5,1508,2011,1508,1910,1910,1910,0.355660377,0.443733451,0.332744925,1,1,1
6,1508,2011,1508,1910,1910,1910,0.355660377,0.443733451,0.332744925,1,1,1
7,1508,2011,1508,1910,1910,1910,0.355660377,0.443733451,0.332744925,1,1,1
8,1508,2011,1508,1910,1910,1910,0.355660377,0.443733451,0.332744925,1,1,1
9,1508,2011,1508,1910,1910,1910,0.355660377,0.443733451,0.332744925,1,1,1
10,1508,2011,1005,1910,1910,1910,0.355660377,0.443733451,0.221756399,1,1,1
11,1508,2011,1005,1910,1910,1910,0.355660377,0.443733451,0.221756399,1,1,1
12,1508,2011,1005,1910,1910,1910,0.355660377,0.443733451,0.221756399,1,1,1
13,1508,2011,1005,1910,1910,1910,0.355660377,0.443733451,0.221756399,1,1,1
14,1508,2011,1005,1910,1910,1910,0.355660377,0.443733451,0.221756399,1,1,1
15,1508,2011,1005,1910,1910,1910,0.355660377,0.443733451,0.221756399,1,1,1
16,1508,2011,1005,1910,1910,1910,0.355660377,0.443733451,0.221756399,1,1,1
17,2258,2761,1805,1910,1910,1910,0.53254717,0.609223301,0.398278906,1,1,1
18,3008,3511,2605,1910,1910,1910,0.709433962,0.774713151,0.574801412,1,1,1
19,3710,3710,3405,1910,1910,1910,0.875,0.818623124,0.751323919,1,1,1
20,3710,3710,3710,1910,1910,1910,0.875,0.818623124,0.818623124,1,1,1
21,3710,3710,3710,1910,1910,1910,0.875,0.818623124,0.818623124,1,1,1
22,3710,3710,3611,1910,1910,1910,0.875,0.818623124,0.796778464,1,1,1
23,3263,3263,2811,1910,1910,1910,0.769575472,0.719991174,0.620255958,1,1,1
24,2513,2513,2011,1910,1910,1910,0.592688679,0.554501324,0.443733451,1,1,1
25,2513,2513,2011,1910,1910,1910,0.592688679,0.554501324,0.443733451,1,1,1
26,2513,2513,2011,1910,1910,1910,0.592688679,0.554501324,0.443733451,1,1,1
27,2513,2513,2011,1910,1910,1910,0.592688679,0.554501324,0.443733451,1,1,1
28,2513,2513,2011,1910,1910,1910,0.592688679,0.554501324,0.443733451,1,1,1
29,2513,2513,2811,1910,1910,1910,0.592688679,0.554501324,0.620255958,1,1,1
30,2513,2513,3611,1910,1910,1910,0.592688679,0.554501324,0.796778464,1,1,1
31,2513,2513,4240,1810,1810,1810,0.592688679,0.554501324,0.935569285,0.947643979,0.947643979,0.947643979
32,2513,2513,4240,1810,1810,1810,0.592688679,0.554501324,0.935569285,0.947643979,0.947643979,0.947643979
33,2513,2513,4240,1810,1810,1810,0.592688679,0.554501324,0.935569285,0.947643979,0.947643979,0.947643979
34,2011,2513,4240,1810,1810,1810,0.474292453,0.554501324,0.935569285,0.947643979,0.947643979,0.947643979
35,2011,2513,4240,1810,1810,1810,0.474292453,0.554501324,0.935569285,0.947643979,0.947643979,0.947643979
36,2011,2513,4240,1810,1810,1810,0.474292453,0.554501324,0.935569285,0.947643979,0.947643979,0.947643979
37,2011,2513,4240,1810,1810,1810,0.474292453,0.554501324,0.935569285,0.947643979,0.947643979,0.947643979
38,2011,2513,4240,1810,1810,1810,0.474292453,0.554501324,0.935569285,0.947643979,0.947643979,0.947643979
39,2011,2513,4240,1810,1810,1810,0.474292453,0.554501324,0.935569285,0.947643979,0.947643979,0.947643979
40,2011,2513,4240,1810,1810,1810,0.474292453,0.554501324,0.935569285,0.947643979,0.947643979,0.947643979
41,2761,3263,4240,1810,1810,1810,0.651179245,0.719991174,0.935569285,0.947643979,0.947643979,0.947643979
42,3511,4013,4240,1810,1810,1810,0.828066038,0.885481024,0.935569285,0.947643979,0.947643979,0.947643979
43,4240,4240,4240,1810,1810,1810,1,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
44,4240,4240,4240,1810,1810,1810,1,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
45,4240,4240,4240,1810,1810,1810,1,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
46,4013,3511,4240,1810,1810,1810,0.946462264,0.774713151,0.935569285,0.947643979,0.947643979,0.947643979
47,3263,2761,3710,1910,1910,1910,0.769575472,0.609223301,0.818623124,1,1,1
48,2513,2011,3710,1910,1910,1910,0.592688679,0.443733451,0.818623124,1,1,1
49,2513,2011,3710,1910,1910,1910,0.592688679,0.443733451,0.818623124,1,1,1
50,2513,2011,3710,1910,1910,1910,0.592688679,0.443733451,0.818623124,1,1,1
51,2513,2011,3710,1910,1910,1910,0.592688679,0.443733451,0.818623124,1,1,1
52,2513,2011,3710,1910,1910,1910,0.592688679,0.443733451,0.818623124,1,1,1
53,2513,2011,3710,1910,1910,1910,0.592688679,0.443733451,0.818623124,1,1,1
54,2513,2011,3710,1910,1910,1910,0.592688679,0.443733451,0.818623124,1,1,1
55,2513,2011,4240,1810,1910,1810,0.592688679,0.443733451,0.935569285,0.947643979,1,0.947643979
56,2513,2011,4240,1810,1910,1810,0.592688679,0.443733451,0.935569285,0.947643979,1,0.947643979
57,2513,2011,4240,1810,1910,1810,0.592688679,0.443733451,0.935569285,0.947643979,1,0.947643979
58,2011,2011,4240,1810,1910,1810,0.474292453,0.443733451,0.935569285,0.947643979,1,0.947643979
59,2011,2011,4240,1810,1910,1810,0.474292453,0.443733451,0.935569285,0.947643979,1,0.947643979
60,2011,2011,4240,1810,1910,1810,0.474292453,0.443733451,0.935569285,0.947643979,1,0.947643979
61,2011,2011,4240,1810,1910,1810,0.474292453,0.443733451,0.935569285,0.947643979,1,0.947643979
62,2011,2011,4240,1810,1910,1810,0.474292453,0.443733451,0.935569285,0.947643979,1,0.947643979
63,2011,2011,4240,1810,1910,1810,0.474292453,0.443733451,0.935569285,0.947643979,1,0.947643979
64,2011,2011,4240,1810,1910,1810,0.474292453,0.443733451,0.935569285,0.947643979,1,0.947643979
65,2761,2761,4240,1810,1910,1810,0.651179245,0.609223301,0.935569285,0.947643979,1,0.947643979
66,3511,3511,4240,1810,1910,1810,0.828066038,0.774713151,0.935569285,0.947643979,1,0.947643979
67,4240,3710,4240,1810,1910,1810,1,0.818623124,0.935569285,0.947643979,1,0.947643979
68,4240,3710,4240,1810,1910,1810,1,0.818623124,0.935569285,0.947643979,1,0.947643979
69,4240,3710,4240,1810,1910,1810,1,0.818623124,0.935569285,0.947643979,1,0.947643979
70,3511,3710,4240,1810,1910,1810,0.828066038,0.818623124,0.935569285,0.947643979,1,0.947643979
71,2761,3263,3710,1910,1910,1910,0.651179245,0.719991174,0.818623124,1,1,1
72,2011,2513,3710,1910,1910,1910,0.474292453,0.554501324,0.818623124,1,1,1
73,2011,2513,3710,1910,1910,1910,0.474292453,0.554501324,0.818623124,1,1,1
74,2011,2513,3710,1910,1910,1910,0.474292453,0.554501324,0.818623124,1,1,1
75,2011,2513,3710,1910,1910,1910,0.474292453,0.554501324,0.818623124,1,1,1
76,2011,2513,3710,1910,1910,1910,0.474292453,0.554501324,0.818623124,1,1,1
77,2011,3263,3710,1910,1910,1910,0.474292453,0.719991174,0.818623124,1,1,1
78,2011,3710,3710,1910,1910,1910,0.474292453,0.818623124,0.818623124,1,1,1
79,2011,4240,4240,1910,1810,1810,0.474292453,0.935569285,0.935569285,1,0.947643979,0.947643979
80,2011,4240,4240,1910,1810,1810,0.474292453,0.935569285,0.935569285,1,0.947643979,0.947643979
81,2011,4240,4240,1910,1810,1810,0.474292453,0.935569285,0.935569285,1,0.947643979,0.947643979
82,2011,4240,4240,1910,1810,1810,0.474292453,0.935569285,0.935569285,1,0.947643979,0.947643979
83,2011,4240,4240,1910,1810,1810,0.474292453,0.935569285,0.935569285,1,0.947643979,0.947643979
84,2011,4240,4240,1910,1810,1810,0.474292453,0.935569285,0.935569285,1,0.947643979,0.947643979
85,2011,4240,4240,1910,1810,1810,0.474292453,0.935569285,0.935569285,1,0.947643979,0.947643979
86,2011,4240,4240,1910,1810,1810,0.474292453,0.935569285,0.935569285,1,0.947643979,0.947643979
87,2011,4240,4240,1910,1810,1810,0.474292453,0.935569285,0.935569285,1,0.947643979,0.947643979
88,2011,4240,4240,1910,1810,1810,0.474292453,0.935569285,0.935569285,1,0.947643979,0.947643979
89,2761,4240,4240,1910,1810,1810,0.651179245,0.935569285,0.935569285,1,0.947643979,0.947643979
90,3511,4240,4240,1910,1810,1810,0.828066038,0.935569285,0.935569285,1,0.947643979,0.947643979
91,3710,4240,4240,1910,1810,1810,0.875,0.935569285,0.935569285,1,0.947643979,0.947643979
92,3710,4240,4240,1910,1810,1810,0.875,0.935569285,0.935569285,1,0.947643979,0.947643979
93,3710,4240,4240,1910,1810,1810,0.875,0.935569285,0.935569285,1,0.947643979,0.947643979
94,3511,4240,4240,1910,1810,1810,0.828066038,0.935569285,0.935569285,1,0.947643979,0.947643979
95,2761,3710,3710,1910,1910,1910,0.651179245,0.818623124,0.818623124,1,1,1
96,2011,3710,3710,1910,1910,1910,0.474292453,0.818623124,0.818623124,1,1,1
97,2011,3710,3710,1910,1910,1910,0.474292453,0.818623124,0.818623124,1,1,1
98,2011,3710,3710,1910,1910,1910,0.474292453,0.818623124,0.818623124,1,1,1
99,2011,3710,3710,1910,1910,1910,0.474292453,0.818623124,0.818623124,1,1,1
100,2011,3710,3710,1910,1910,1910,0.474292453,0.818623124,0.818623124,1,1,1
