Hour,2010,2011,2012,2013,2014
0,0.46708,0.36646,0.42713,0.41273,0.33762
1,0.46772,0.36655,0.42854,0.41244,0.33791
2,0.46836,0.36663,0.42995,0.41215,0.33821
3,0.469,0.36672,0.43136,0.41186,0.3385
4,0.46964,0.36681,0.43277,0.41157,0.33879
5,0.47028,0.3669,0.43418,0.41128,0.33909
6,0.47092,0.36698,0.43559,0.41098,0.33938
7,0.47156,0.36707,0.437,0.41069,0.33967
8,0.4722,0.36716,0.43842,0.4104,0.33996
9,0.47284,0.36724,0.43983,0.41011,0.34026
10,0.47348,0.36733,0.44124,0.40982,0.34055
11,0.47412,0.36742,0.44265,0.40953,0.34084
12,0.47476,0.3675,0.44406,0.40924,0.34114
13,0.4754,0.36759,0.44547,0.40895,0.34143
14,0.47604,0.36768,0.44688,0.40866,0.34172
15,0.47668,0.36777,0.44829,0.40837,0.34202
16,0.47732,0.36785,0.4497,0.40808,0.34231
17,0.47796,0.36794,0.45112,0.40779,0.3426
18,0.4786,0.36803,0.45253,0.4075,0.3429
19,0.47925,0.36811,0.45394,0.40721,0.34319
20,0.47989,0.3682,0.45535,0.40691,0.34348
21,0.48053,0.36829,0.45676,0.40662,0.34378
22,0.48117,0.36838,0.45817,0.40633,0.34407
23,0.48181,0.36846,0.45958,0.40604,0.34436
24,0.48181,0.36846,0.45958,0.40604,0.34436
25,0.48245,0.36855,0.46099,0.40604,0.34466
26,0.48309,0.36864,0.4624,0.40603,0.34495
27,0.48373,0.36872,0.46382,0.40602,0.34524
28,0.48437,0.36881,0.46523,0.40601,0.34554
29,0.48501,0.3689,0.46664,0.40601,0.34583
30,0.48565,0.36899,0.46805,0.406,0.34612
31,0.48629,0.36907,0.46946,0.40599,0.34642
32,0.48693,0.36916,0.47087,0.40598,0.34671
33,0.48757,0.36925,0.47228,0.40598,0.347
34,0.48821,0.36933,0.47369,0.40597,0.3473
35,0.48885,0.36942,0.4751,0.40596,0.34759
36,0.48949,0.36951,0.47652,0.40596,0.34788
37,0.49013,0.3696,0.47793,0.40595,0.34818
38,0.49077,0.36968,0.47934,0.40594,0.34847
39,0.49141,0.36977,0.48075,0.40593,0.34876
40,0.49205,0.36986,0.48216,0.40593,0.34906
41,0.4927,0.36994,0.48357,0.40592,0.34935
42,0.49334,0.37003,0.48498,0.40591,0.34964
43,0.49398,0.37012,0.48639,0.4059,0.34994
44,0.49462,0.37021,0.4878,0.4059,0.35023
45,0.49526,0.37029,0.48922,0.40589,0.35052
46,0.4959,0.37038,0.49063,0.40588,0.35082
47,0.49654,0.37047,0.49204,0.40588,0.35111
48,0.49654,0.37047,0.49204,0.40588,0.35111
49,0.49718,0.37055,0.49345,0.40587,0.3514
50,0.49782,0.37064,0.49486,0.40586,0.3517
51,0.49846,0.37073,0.49627,0.40585,0.35199
52,0.4991,0.37082,0.49768,0.40585,0.35228
53,0.49974,0.3709,0.49909,0.40584,0.35258
54,0.50038,0.37099,0.5005,0.40583,0.35287
55,0.50102,0.37108,0.50192,0.40582,0.35316
56,0.50166,0.37116,0.50333,0.40582,0.35346
57,0.5023,0.37125,0.50474,0.40581,0.35375
58,0.50294,0.37134,0.50615,0.4058,0.35404
59,0.50358,0.37143,0.50756,0.4058,0.35434
60,0.50422,0.37151,0.50897,0.40579,0.35463
61,0.50486,0.3716,0.51038,0.40578,0.35492
62,0.5055,0.37169,0.51179,0.40577,0.35522
63,0.50615,0.37177,0.51321,0.40577,0.35551
64,0.50679,0.37186,0.51462,0.40576,0.3558
65,0.50743,0.37195,0.51603,0.40575,0.3561
66,0.50807,0.37203,0.51744,0.40574,0.35639
67,0.50871,0.37212,0.51885,0.40574,0.35668
68,0.50935,0.37221,0.52026,0.40573,0.35698
69,0.50999,0.3723,0.52167,0.40572,0.35727
70,0.51063,0.37238,0.52308,0.40572,0.35756
71,0.51127,0.37247,0.52449,0.40571,0.35786
72,0.51127,0.37247,0.52449,0.40571,0.35786
73,0.51191,0.37256,0.52591,0.4057,0.35815
74,0.51255,0.37264,0.52732,0.40569,0.35844
75,0.51319,0.37273,0.52873,0.40569,0.35874
76,0.51383,0.37282,0.53014,0.40568,0.35903
77,0.51447,0.37291,0.53155,0.40567,0.35932
78,0.51511,0.37299,0.53296,0.40566,0.35962
79,0.51575,0.37308,0.53437,0.40566,0.35991
80,0.51639,0.37317,0.53578,0.40565,0.3602
81,0.51703,0.37325,0.53719,0.40564,0.3605
82,0.51767,0.37334,0.53861,0.40564,0.36079
83,0.51831,0.37343,0.54002,0.40563,0.36108
84,0.51895,0.37352,0.54143,0.40562,0.36137
85,0.5196,0.3736,0.54284,0.40561,0.36167
86,0.52024,0.37369,0.54425,0.40561,0.36196
87,0.52088,0.37378,0.54566,0.4056,0.36225
88,0.52152,0.37386,0.54707,0.40559,0.36255
89,0.52216,0.37395,0.54848,0.40558,0.36284
90,0.5228,0.37404,0.54989,0.40558,0.36313
91,0.52344,0.37413,0.55131,0.40557,0.36343
92,0.52408,0.37421,0.55272,0.40556,0.36372
93,0.52472,0.3743,0.55413,0.40556,0.36401
94,0.52536,0.37439,0.55554,0.40555,0.36431
95,0.526,0.37447,0.55695,0.40554,0.3646
