Hour,2015,2016,2017
0,0.030332,0,0.003921
1,0.001262,0.000517,0.003921
2,0.002103,0.001034,0.003921
3,0.002944,0.001034,0.003921
4,0.002944,0.001034,0.003921
5,0.002944,0.001034,0.003921
6,0.002944,0.001034,0.003096
7,0.002944,0.001034,0.003096
8,0.009675,0.034899,0.041274
9,0.088333,0.299354,0.393136
10,0.207794,0.697977,0.944971
11,0.342397,0.97148,1.402702
12,0.411802,1.067387,1.642917
13,0.424,0.919002,1.594007
14,0.323468,0.589661,1.201697
15,0.166571,0.211978,0.563598
16,0.027762,0.017579,0.075944
17,0.002524,0.001034,0.003302
18,0.002944,0.001034,0.003715
19,0.002944,0.001034,0.003715
20,0.002944,0.001034,0.003715
21,0.002944,0.001034,0.003715
22,0.002944,0.000259,0.003715
23,0.002944,0,0.003715
24,0.002944,0,0.003715
25,0.002944,0,0.003715
26,0.001683,0.000517,0.003715
27,0.001262,0.001034,0.003715
28,0.001262,0.001034,0.003302
29,0.001262,0.001034,0.003096
30,0.001262,0.001034,0.002889
31,0.002103,0.001034,0.003096
32,0.01977,0.013443,0.044576
33,0.13881,0.160535,0.367753
34,0.272571,0.407411,0.768318
35,0.385302,0.632574,1.197569
36,0.307064,0.521931,1.355649
37,0.154794,0.349505,1.206443
38,0.077817,0.22904,0.740871
39,0.035333,0.085308,0.324621
40,0.004627,0.00698,0.048084
41,0.002524,0.001034,0.005572
42,0.002944,0.001034,0.005366
43,0.002944,0.001034,0.005985
44,0.002944,0.001034,0.005985
45,0.002944,0.001034,0.005985
46,0.002944,0.001034,0.005985
47,0.002944,0.000776,0.005985
48,0.002944,0,0.006191
49,0.002944,0,0.006191
50,0.002944,0,0.006191
51,0.002524,0,0.006191
52,0.001262,0,0.006191
53,0.001262,0.001034,0.006191
54,0.001262,0.001034,0.005572
55,0.001262,0.001034,0.005572
56,0.009254,0.042654,0.015891
57,0.098429,0.472814,0.132696
58,0.245651,1.13279,0.37869
59,0.315056,1.669456,0.651719
60,0.27173,1.770017,0.935891
61,0.209056,1.503752,1.058888
62,0.149325,0.962174,0.839929
63,0.067722,0.425249,0.409233
64,0.005468,0.049375,0.066245
65,0.001262,0.001034,0.006191
66,0.002524,0.001034,0.006191
67,0.002944,0.001034,0.005985
68,0.002944,0.001034,0.005985
69,0.002944,0.001034,0.006191
70,0.002944,0.001034,0.005985
71,0.002944,0.001034,0.005985
72,0.002944,0,0.005778
73,0.002944,0,0.005572
74,0.002944,0,0.005572
75,0.002944,0,0.006191
76,0.001683,0,0.005985
77,0.001262,0.000776,0.005985
78,0.001262,0.001034,0.005985
79,0.001262,0.001034,0.005778
80,0.034913,0.031797,0.010112
81,0.395818,0.182766,0.084406
82,1.114262,0.48393,0.222468
83,1.786857,0.834728,0.310794
84,2.210016,0.848688,0.315747
85,2.079199,0.877124,0.327098
86,1.511341,0.729515,0.215245
87,0.699516,0.436882,0.099677
88,0.097167,0.070832,0.024764
89,0.001262,0.001034,0.006397
90,0.001683,0.001034,0.006191
91,0.002944,0.001034,0.005572
92,0.002944,0.001034,0.005985
93,0.002944,0.000776,0.006191
94,0.002944,0,0.006191
95,0.002944,0,0.006191
96,0.001683,0,0.005572
97,0.001683,0,0.005572
98,0.001683,0,0.005366
99,0,0.000776,0.005778
100,0,0.001034,0.006191
101,0,0.001034,0.006191
102,0,0.001034,0.006191
103,0,0.001034,0.006191
104,0.079921,0.035674,0.011763
105,0.806778,0.410514,0.08131
106,1.920619,0.964759,0.217721
107,2.797223,1.371136,0.26044
