Hour,2015,2016,2017
0,2.670259,0.44411,0.295502
1,2.257915,0.604909,0.318744
2,2.327747,0.565347,0.330918
3,2.128226,0.307559,0.289969
4,2.282855,0.067637,0.287755
5,1.682629,0.061257,0.369655
6,2.023478,0.006381,0.367441
7,2.80161,0.042114,0.263407
8,2.297819,0.171008,0.252339
9,1.594507,0.409653,0.338666
10,0.771482,0.533443,0.287755
11,0.736566,0.587042,0.285542
12,0.580274,0.248855,0.179294
13,1.592844,0.109751,0.164906
14,1.202115,0.155694,0.243485
15,0.498803,0.372644,0.315424
16,0.643456,0.551309,0.276688
17,0.741554,0.629156,0.536774
18,0.605214,0.641918,1.558305
19,0.357475,0.713384,1.608108
20,0.370777,0.737631,1.44763
21,0.339186,1.619471,1.225173
22,0.096435,2.030401,1.332528
23,0.014964,2.563844,1.307072
24,0.02494,3.145781,1.568265
25,0.271016,2.700395,1.964482
26,0.553671,2.789727,1.726531
27,1.099029,2.831841,2.005432
28,1.328479,2.405597,2.066303
29,1.852222,1.983182,1.89365
30,1.998537,1.782822,1.412214
31,2.550546,1.661585,1.218532
32,2.929636,1.942344,0.991648
33,2.553871,1.425492,0.942951
34,2.86978,1.590119,0.674011
35,3.044361,1.776441,0.558909
36,3.085928,1.462501,0.346413
37,3.095904,0.736355,0.461515
38,3.097567,1.045191,0.859945
39,2.969541,1.144733,0.661837
40,3.046024,1.060505,0.581044
41,2.743417,1.403797,0.689506
42,2.347699,1.918097,0.658517
43,2.249602,2.1644,0.478116
44,1.493084,2.080172,0.463728
45,1.054137,2.00743,0.30325
46,0.823025,1.761127,0.630848
47,0.224461,2.015087,0.805714
48,0.452248,1.6233,0.782473
49,0.525406,1.470158,0.764765
50,1.050812,1.27235,0.687292
51,1.592844,0.963515,0.692826
52,2.114925,0.857592,0.830063
53,2.294494,1.647547,1.256162
54,2.512304,1.180466,1.636884
55,2.976191,1.124314,1.312606
56,3.125832,0.755498,1.334741
57,2.836526,0.534719,0.863265
58,3.059325,0.542376,0.367441
59,3.024409,0.481119,0.141664
60,3.282124,0.307559,0.083006
61,3.323691,0.488777,0.138344
62,3.327016,0.745289,0.12617
63,3.323691,1.703699,0.090754
64,3.287112,2.363483,0.023242
65,3.398511,2.604681,0.109568
66,3.36027,2.201409,0.21803
67,3.529863,3.365284,0.079686
68,3.511573,3.629453,0.068619
69,3.453379,3.652424,0.119529
70,3.68948,3.626901,0.140557
71,3.80753,3.312961,0.249019
72,4.020352,3.351246,0.602072
73,4.103486,3.369113,0.917496
74,3.300413,3.06921,1.205251
75,3.328679,3.275951,1.944561
76,2.972866,3.203209,2.261091
77,2.01849,3.385703,2.544419
78,1.892126,3.311684,2.4592
79,1.421589,2.716985,2.188046
