Hour,2010,2011,2012,2013,2014
0,6.82487E-05,5.16094E-05,5.08619E-05,5.91109E-05,0.000034574
1,6.85274E-05,5.18045E-05,5.08297E-05,5.91938E-05,3.48508E-05
2,6.88061E-05,5.19996E-05,5.07974E-05,5.92767E-05,3.51276E-05
3,6.90847E-05,5.21947E-05,5.07651E-05,5.93596E-05,3.54044E-05
4,6.93634E-05,5.23898E-05,5.07328E-05,5.94425E-05,3.56812E-05
5,6.96421E-05,5.25848E-05,5.07006E-05,5.95255E-05,0.000035958
6,6.99208E-05,5.27799E-05,5.06683E-05,5.96084E-05,3.62348E-05
7,7.01995E-05,0.000052975,0.000050636,5.96913E-05,3.65116E-05
8,7.04782E-05,5.31701E-05,5.06038E-05,5.97742E-05,3.67884E-05
9,7.07568E-05,5.33652E-05,5.05715E-05,5.98571E-05,3.70652E-05
10,7.10355E-05,5.35602E-05,5.05392E-05,0.00005994,0.000037342
11,7.13142E-05,5.37553E-05,0.000050507,0.000060023,3.76188E-05
12,7.15929E-05,5.39504E-05,5.04747E-05,6.01059E-05,3.78956E-05
13,7.18716E-05,5.41455E-05,5.04424E-05,6.01888E-05,3.81724E-05
14,7.21503E-05,5.43406E-05,5.04102E-05,6.02717E-05,3.84492E-05
15,7.24289E-05,5.45356E-05,5.03779E-05,6.03546E-05,0.000038726
16,7.27076E-05,5.47307E-05,5.03456E-05,6.04376E-05,3.90028E-05
17,7.29863E-05,5.49258E-05,5.03134E-05,6.05205E-05,3.92797E-05
18,0.000073265,5.51209E-05,5.02811E-05,6.06034E-05,3.95564E-05
19,7.35437E-05,5.53159E-05,5.02488E-05,6.06863E-05,3.98332E-05
20,7.38223E-05,0.000055511,5.02166E-05,6.07692E-05,0.00004011
21,0.000074101,5.57061E-05,5.01843E-05,6.08521E-05,4.03868E-05
22,7.43797E-05,5.59012E-05,0.000050152,6.09351E-05,4.06636E-05
23,7.46584E-05,5.60963E-05,5.01197E-05,0.000061018,4.09404E-05
24,7.46584E-05,5.60963E-05,5.01197E-05,0.000061018,4.09404E-05
25,7.49371E-05,5.62914E-05,5.02793E-05,6.13187E-05,4.12172E-05
26,7.52158E-05,5.64864E-05,5.04388E-05,6.16195E-05,4.14941E-05
27,7.54944E-05,5.66815E-05,5.05984E-05,6.19202E-05,4.17709E-05
28,7.57731E-05,5.68766E-05,5.07579E-05,6.22209E-05,4.20477E-05
29,7.60518E-05,5.70717E-05,5.09174E-05,6.25217E-05,4.23245E-05
30,7.63305E-05,5.72667E-05,0.000051077,6.28224E-05,4.26013E-05
31,7.66092E-05,5.74618E-05,5.12365E-05,6.31232E-05,4.28781E-05
32,7.68878E-05,5.76569E-05,5.13961E-05,6.34239E-05,4.31549E-05
33,7.71665E-05,0.000057852,5.15556E-05,6.37247E-05,4.34317E-05
34,7.74452E-05,5.80471E-05,5.17151E-05,6.40254E-05,4.37085E-05
35,7.77239E-05,5.82421E-05,5.18747E-05,6.43262E-05,4.39853E-05
36,7.80026E-05,5.84372E-05,5.20342E-05,6.46269E-05,4.42621E-05
37,7.82813E-05,5.86323E-05,5.21938E-05,6.49277E-05,4.45389E-05
38,7.85599E-05,5.88274E-05,5.23533E-05,6.52284E-05,4.48157E-05
39,7.88386E-05,5.90225E-05,5.25129E-05,6.55292E-05,4.50925E-05
40,7.91173E-05,5.92175E-05,5.26724E-05,6.58299E-05,4.53693E-05
41,0.000079396,5.94126E-05,5.28319E-05,6.61306E-05,4.56461E-05
42,7.96747E-05,5.96077E-05,5.29915E-05,6.64314E-05,4.59229E-05
43,7.99534E-05,5.98028E-05,0.000053151,6.67321E-05,4.61997E-05
44,0.000080232,5.99979E-05,5.33106E-05,6.70329E-05,4.64765E-05
45,8.05107E-05,6.01929E-05,5.34701E-05,6.73336E-05,4.67533E-05
46,8.07894E-05,0.000060388,5.36296E-05,6.76344E-05,4.70301E-05
47,8.10681E-05,6.05831E-05,5.37892E-05,6.79351E-05,4.73069E-05
48,8.10681E-05,6.05831E-05,5.37892E-05,6.79351E-05,4.73069E-05
49,8.13468E-05,6.04841E-05,5.37569E-05,6.82359E-05,4.75837E-05
50,8.16254E-05,6.03852E-05,5.37246E-05,6.85366E-05,4.78605E-05
51,8.19041E-05,6.02862E-05,5.36924E-05,6.88374E-05,4.81373E-05
52,8.21828E-05,6.01872E-05,5.36601E-05,6.91381E-05,4.84141E-05
53,8.24615E-05,6.00882E-05,5.36278E-05,6.94388E-05,4.86909E-05
54,8.27402E-05,5.99892E-05,5.35956E-05,6.97396E-05,4.89677E-05
55,8.30189E-05,5.98903E-05,5.35633E-05,7.00403E-05,4.92445E-05
56,8.32975E-05,5.97913E-05,0.000053531,7.03411E-05,4.95213E-05
57,8.35762E-05,5.96923E-05,5.34988E-05,7.06418E-05,4.97981E-05
58,8.38549E-05,5.95933E-05,5.34665E-05,7.09426E-05,5.00749E-05
59,8.41336E-05,5.94944E-05,5.34342E-05,7.12433E-05,5.03517E-05
60,8.44123E-05,5.93954E-05,0.000053402,7.15441E-05,5.06285E-05
61,8.46909E-05,5.92964E-05,5.33697E-05,7.18448E-05,5.09053E-05
62,8.49696E-05,5.91974E-05,5.33374E-05,7.21456E-05,5.11821E-05
63,8.52483E-05,5.90984E-05,5.33052E-05,7.24463E-05,5.14589E-05
64,0.000085527,5.89995E-05,5.32729E-05,7.27471E-05,5.17357E-05
